COUNTRY,HDI_SCORE,SCORE
CH,0.967,1
NO,0.966,0.998296422487223
IS,0.959,0.986371379897785
HK,0.956,0.981260647359455
DK,0.952,0.974446337308348
SE,0.952,0.974446337308348
DE,0.95,0.971039182282794
IE,0.95,0.971039182282794
SG,0.949,0.969335604770017
AU,0.946,0.964224872231687
NL,0.946,0.964224872231687
BE,0.942,0.957410562180579
FI,0.942,0.957410562180579
LI,0.942,0.957410562180579
GB,0.94,0.954003407155026
NZ,0.939,0.952299829642249
AE,0.937,0.948892674616695
CA,0.935,0.945485519591142
KR,0.929,0.935264054514481
LU,0.927,0.931856899488927
US,0.927,0.931856899488927
AT,0.926,0.93015332197615
SI,0.926,0.93015332197615
JP,0.92,0.919931856899489
IL,0.915,0.911413969335605
MT,0.915,0.911413969335605
ES,0.911,0.904599659284498
FR,0.91,0.902896081771721
CY,0.907,0.89778534923339
IT,0.906,0.896081771720613
EE,0.899,0.884156729131176
CZ,0.895,0.877342419080068
GR,0.893,0.873935264054515
BH,0.888,0.86541737649063
AD,0.884,0.858603066439523
PL,0.881,0.853492333901193
LV,0.879,0.850085178875639
LT,0.879,0.850085178875639
HR,0.878,0.848381601362862
QA,0.875,0.843270868824532
SA,0.875,0.843270868824532
PT,0.874,0.841567291311755
SM,0.867,0.829642248722317
CL,0.86,0.817717206132879
SK,0.855,0.809199318568995
TR,0.855,0.809199318568995
HU,0.851,0.802385008517888
AR,0.849,0.798977853492334
KW,0.847,0.79557069846678
ME,0.844,0.79045996592845
KN,0.838,0.780238500851789
UY,0.83,0.766609880749574
RO,0.827,0.761499148211244
AG,0.826,0.759795570698467
BN,0.823,0.754684838160136
RU,0.821,0.751277683134583
BS,0.82,0.749574105621806
PA,0.82,0.749574105621806
OM,0.819,0.747870528109029
GE,0.814,0.739352640545145
TT,0.814,0.739352640545145
BB,0.809,0.730834752981261
MY,0.807,0.727427597955707
CR,0.806,0.72572402044293
RS,0.805,0.724020442930153
TH,0.803,0.7206132879046
KZ,0.802,0.718909710391823
SC,0.802,0.718909710391823
BY,0.801,0.717206132879046
BG,0.799,0.713798977853492
PW,0.797,0.710391822827939
MU,0.796,0.708688245315162
GD,0.793,0.703577512776831
AL,0.789,0.696763202725724
CN,0.788,0.695059625212947
AM,0.786,0.691652470187394
MX,0.781,0.68313458262351
IR,0.78,0.681431005110733
LK,0.78,0.681431005110733
BA,0.779,0.679727427597956
VC,0.772,0.667802385008518
DO,0.766,0.657580919931857
EC,0.765,0.65587734241908
MK,0.765,0.65587734241908
CU,0.764,0.654173764906303
MD,0.763,0.652470187393527
MV,0.762,0.65076660988075
PE,0.762,0.65076660988075
AZ,0.76,0.647359454855196
BR,0.76,0.647359454855196
CO,0.758,0.643952299829642
LY,0.746,0.62350936967632
DZ,0.745,0.621805792163544
TM,0.744,0.620102214650767
GY,0.742,0.616695059625213
MN,0.741,0.614991482112436
DM,0.74,0.613287904599659
TO,0.739,0.611584327086883
JO,0.736,0.606473594548552
UA,0.734,0.603066439522998
TN,0.732,0.599659284497445
MH,0.731,0.597955706984668
PY,0.731,0.597955706984668
FJ,0.729,0.594548551959114
EG,0.728,0.592844974446337
UZ,0.727,0.591141396933561
VN,0.726,0.589437819420784
LC,0.725,0.587734241908007
LB,0.723,0.584327086882453
ZA,0.717,0.574105621805792
PS,0.716,0.572402044293015
ID,0.713,0.567291311754685
PH,0.71,0.562180579216354
BW,0.708,0.558773424190801
JM,0.706,0.555366269165247
WS,0.702,0.54855195911414
KG,0.701,0.546848381601363
BZ,0.7,0.545144804088586
VE,0.699,0.543441226575809
BO,0.698,0.541737649063032
MA,0.698,0.541737649063032
NR,0.696,0.538330494037479
GA,0.693,0.533219761499148
SR,0.69,0.528109028960818
BT,0.681,0.512776831345826
TJ,0.679,0.509369676320273
SV,0.674,0.500851788756389
IQ,0.673,0.499148211243612
BD,0.67,0.494037478705281
NI,0.669,0.492333901192504
CV,0.661,0.47870528109029
TV,0.653,0.465076660988075
GQ,0.65,0.459965928449745
IN,0.644,0.449744463373084
FM,0.634,0.432708688245315
GT,0.629,0.424190800681431
KI,0.628,0.422487223168654
HN,0.624,0.415672913117547
LA,0.62,0.40885860306644
VU,0.614,0.398637137989779
ST,0.613,0.396933560477002
SZ,0.61,0.391822827938671
NA,0.61,0.391822827938671
MM,0.608,0.388415672913118
GH,0.602,0.378194207836457
KE,0.601,0.37649063032368
NP,0.601,0.37649063032368
KH,0.6,0.374787052810903
CG,0.593,0.362862010221465
AO,0.591,0.359454855195911
CM,0.587,0.352640545144804
KM,0.586,0.350936967632027
ZM,0.569,0.321976149914821
PG,0.568,0.320272572402044
TL,0.566,0.316865417376491
SB,0.562,0.310051107325383
SY,0.557,0.301533219761499
HT,0.552,0.293015332197615
UG,0.55,0.289608177172061
ZW,0.55,0.289608177172061
NG,0.548,0.286201022146508
RW,0.548,0.286201022146508
TG,0.547,0.284497444633731
MR,0.54,0.272572402044293
PK,0.54,0.272572402044293
CI,0.534,0.262350936967632
TZ,0.532,0.258943781942078
LS,0.521,0.240204429301533
SN,0.517,0.233390119250426
SD,0.516,0.231686541737649
DJ,0.515,0.229982964224872
MW,0.508,0.218057921635434
BJ,0.504,0.211243611584327
GM,0.495,0.195911413969336
ER,0.493,0.192504258943782
ET,0.492,0.190800681431005
LR,0.487,0.182282793867121
MG,0.487,0.182282793867121
GW,0.483,0.175468483816014
CD,0.481,0.17206132879046
GN,0.471,0.155025553662692
AF,0.462,0.1396933560477
MZ,0.461,0.137989778534923
SL,0.458,0.132879045996593
BF,0.438,0.0988074957410562
YE,0.424,0.0749574105621806
BI,0.42,0.0681431005110732
ML,0.41,0.0511073253833049
TD,0.394,0.0238500851788757
NE,0.394,0.0238500851788757
CF,0.387,0.0119250425894378
SS,0.381,0.00170357751277683
SO,0.38,0
