COUNTRY,GGGR_SCORE,SCORE
Iceland,0.908,1
Finland,0.86,0.898520084566596
Norway,0.845,0.866807610993657
New Zealand,0.841,0.858350951374207
Sweden,0.822,0.818181818181818
Rwanda,0.811,0.79492600422833
Nicaragua,0.81,0.792811839323467
Namibia,0.807,0.78646934460888
Ireland,0.804,0.780126849894292
Germany,0.801,0.773784355179704
Lithuania,0.799,0.769556025369979
Costa Rica,0.796,0.763213530655391
Switzerland,0.795,0.761099365750529
Belgium,0.793,0.756871035940803
France,0.791,0.752642706131078
Moldova,0.788,0.746300211416491
Spain,0.788,0.746300211416491
Albania,0.787,0.744186046511628
Philippines,0.783,0.735729386892178
South Africa,0.782,0.733615221987315
Austria,0.781,0.731501057082453
United Kingdom,0.78,0.72938689217759
Serbia,0.779,0.727272727272727
Burundi,0.777,0.723044397463002
Canada,0.772,0.712473572938689
Latvia,0.771,0.710359408033827
United States,0.769,0.706131078224102
Netherlands,0.767,0.701902748414376
Portugal,0.766,0.699788583509514
Barbados,0.765,0.697674418604651
Denmark,0.764,0.695560253699789
Mexico,0.764,0.695560253699789
Argentina,0.756,0.678646934460888
Guyana,0.752,0.670190274841438
Mozambique,0.752,0.670190274841438
Belarus,0.75,0.665961945031713
Jamaica,0.749,0.66384778012685
Peru,0.749,0.66384778012685
Slovenia,0.744,0.653276955602537
Ecuador,0.743,0.651162790697674
Panama,0.743,0.651162790697674
Bulgaria,0.74,0.644820295983087
Australia,0.738,0.640591966173361
Suriname,0.737,0.638477801268499
Cape Verde,0.736,0.636363636363636
Chile,0.736,0.636363636363636
Luxembourg,0.736,0.636363636363636
Madagascar,0.735,0.634249471458774
Bolivia,0.734,0.632135306553911
Singapore,0.734,0.632135306553911
Zimbabwe,0.734,0.632135306553911
Estonia,0.733,0.630021141649049
Laos,0.733,0.630021141649049
Montenegro,0.732,0.627906976744186
Georgia,0.731,0.625792811839323
Timor-Leste,0.73,0.623678646934461
Kenya,0.729,0.621564482029598
Eswatini,0.728,0.619450317124736
El Salvador,0.727,0.617336152219873
Israel,0.727,0.617336152219873
Uganda,0.724,0.610993657505285
Zambia,0.723,0.608879492600423
Italy,0.72,0.602536997885835
Botswana,0.719,0.600422832980972
Kazakhstan,0.719,0.600422832980972
Tanzania,0.719,0.600422832980972
Slovakia,0.717,0.596194503171247
North Macedonia,0.716,0.594080338266385
United Arab Emirates,0.716,0.594080338266385
Mongolia,0.715,0.591966173361522
Bangladesh,0.714,0.58985200845666
Uruguay,0.711,0.583509513742072
Bosnia and Herzegovina,0.71,0.581395348837209
Colombia,0.71,0.581395348837209
Czech Republic,0.71,0.581395348837209
Ethiopia,0.71,0.581395348837209
Liberia,0.709,0.579281183932347
Poland,0.709,0.579281183932347
Thailand,0.709,0.579281183932347
Paraguay,0.707,0.575052854122621
Ukraine,0.707,0.575052854122621
Honduras,0.705,0.570824524312896
Vietnam,0.705,0.570824524312896
Dominican Republic,0.703,0.566596194503171
Malta,0.703,0.566596194503171
Kyrgyz Republic,0.7,0.560253699788583
Lesotho,0.7,0.560253699788583
Hungary,0.699,0.558139534883721
Armenia,0.698,0.556025369978858
Romania,0.698,0.556025369978858
Indonesia,0.697,0.553911205073996
Togo,0.697,0.553911205073996
Brazil,0.696,0.551797040169133
Cyprus,0.696,0.551797040169133
Belize,0.695,0.549682875264271
Cameroon,0.692,0.543340380549683
Nepal,0.692,0.543340380549683
Cambodia,0.69,0.539112050739958
Greece,0.689,0.536997885835095
"Korea, Rep.",0.689,0.536997885835095
Azerbaijan,0.687,0.53276955602537
China,0.682,0.522198731501057
Malaysia,0.681,0.520084566596195
Brunei Darussalam,0.68,0.517970401691332
Mauritius,0.679,0.515856236786469
Myanmar,0.677,0.511627906976744
Fiji,0.676,0.509513742071882
Ghana,0.672,0.501057082452431
Sierra Leone,0.672,0.501057082452431
Sri Lanka,0.67,0.496828752642706
Vanuatu,0.67,0.496828752642706
Senegal,0.668,0.492600422832981
Guatemala,0.664,0.484143763213531
Tajikistan,0.663,0.482029598308668
Burkina Faso,0.659,0.473572938689218
Japan,0.65,0.454545454545455
Maldives,0.648,0.450317124735729
Guinea,0.647,0.448202959830867
Lebanon,0.644,0.441860465116279
Tunisia,0.643,0.439746300211417
"Gambia, The",0.641,0.435517970401691
Jordan,0.639,0.431289640591966
Nigeria,0.639,0.431289640591966
Turkey,0.639,0.431289640591966
Angola,0.638,0.429175475687104
Bhutan,0.637,0.427061310782241
Saudi Arabia,0.636,0.424947145877378
Egypt,0.635,0.422832980972516
Niger,0.635,0.422832980972516
Bahrain,0.632,0.416490486257928
C̫te d'Ivoire,0.632,0.416490486257928
Kuwait,0.632,0.416490486257928
Malawi,0.632,0.416490486257928
Comoros,0.631,0.414376321353066
India,0.629,0.41014799154334
Morocco,0.624,0.399577167019027
Qatar,0.617,0.384778012684989
Benin,0.612,0.374207188160677
Oman,0.609,0.367864693446089
Algeria,0.602,0.353065539112051
Mali,0.601,0.350951374207188
Chad,0.579,0.304439746300211
Iran,0.576,0.298097251585624
Democratic Republic of the Congo,0.575,0.295983086680761
Pakistan,0.564,0.272727272727273
Afghanistan,0.435,0
