COUNTRY,GPI_SCORE,SCORE
Iceland,1.112,1
Ireland,1.303,0.916411378555799
Austria,1.313,0.912035010940919
New Zealand,1.323,0.907658643326039
Singapore,1.339,0.900656455142232
Switzerland,1.35,0.895842450765864
Portugal,1.372,0.886214442013129
Denmark,1.382,0.88183807439825
Slovenia,1.395,0.876148796498906
Malaysia,1.427,0.862144420131291
Canada,1.449,0.852516411378556
Czech Republic,1.459,0.848140043763676
Finland,1.474,0.841575492341357
Hungary,1.502,0.829321663019694
Croatia,1.504,0.828446389496718
Belgium,1.51,0.82582056892779
Japan,1.525,0.819256017505471
Netherlands,1.527,0.818380743982495
Australia,1.536,0.814442013129103
Germany,1.542,0.811816192560175
Bhutan,1.564,0.80218818380744
Mauritius,1.577,0.796498905908096
Spain,1.597,0.787746170678337
Estonia,1.615,0.779868708971554
Kuwait,1.622,0.776805251641138
Bulgaria,1.629,0.773741794310722
Slovakia,1.634,0.771553610503282
Norway,1.638,0.769803063457331
Qatar,1.656,0.761925601750547
Latvia,1.661,0.759737417943107
Lithuania,1.672,0.75492341356674
Poland,1.678,0.752297592997812
Italy,1.692,0.74617067833698
United Kingdom,1.703,0.741356673960613
Montenegro,1.746,0.72253829321663
Romania,1.755,0.718599562363239
Oman,1.761,0.715973741794311
North Macedonia,1.764,0.714660831509847
Sweden,1.782,0.706783369803063
Greece,1.793,0.701969365426696
Vietnam,1.802,0.698030634573304
Albania,1.809,0.694967177242889
Taiwan,1.818,0.691028446389497
Madagascar,1.838,0.682275711159737
Mongolia,1.845,0.679212253829322
South Korea,1.848,0.677899343544858
Argentina,1.855,0.674835886214442
Indonesia,1.857,0.673960612691466
Laos,1.861,0.672210065645514
Botswana,1.863,0.671334792122538
East Timor,1.882,0.663019693654267
Uruguay,1.893,0.658205689277899
United Arab Emirates,1.897,0.656455142231948
Serbia,1.93,0.642013129102845
Ghana,1.938,0.638512035010941
Kosovo,1.945,0.635448577680525
Zambia,1.948,0.634135667396061
Costa Rica,1.95,0.633260393873085
Kazakhstan,1.954,0.631509846827134
Uzbekistan,1.957,0.63019693654267
Bosnia and Herzegovina,1.961,0.628446389496718
Namibia,1.972,0.62363238512035
Moldova,1.976,0.621881838074398
Chile,1.978,0.621006564551422
Tanzania,1.987,0.617067833698031
Sierra Leone,1.993,0.614442013129103
Jordan,1.998,0.612253829321663
Bolivia,2.009,0.607439824945296
Liberia,2.025,0.600437636761488
Cambodia,2.028,0.599124726477024
Tajikistan,2.035,0.596061269146608
Angola,2.043,0.592560175054705
Paraguay,2.044,0.592122538293217
Tunisia,2.044,0.592122538293217
Thailand,2.048,0.590371991247265
Armenia,2.052,0.588621444201313
Kyrgyzstan,2.053,0.588183807439825
Morocco,2.054,0.587746170678337
Malawi,2.063,0.583807439824945
Nepal,2.069,0.581181619256018
Bahrain,2.072,0.579868708971554
The Gambia,2.079,0.576805251641138
Turkmenistan,2.079,0.576805251641138
Senegal,2.084,0.574617067833698
Guinea-Bissau,2.085,0.57417943107221
France,2.088,0.572866520787746
Trinidad and Tobago,2.092,0.571115973741794
China,2.101,0.567177242888403
Cyprus,2.101,0.567177242888403
Algeria,2.11,0.563238512035011
Jamaica,2.119,0.559299781181619
Rwanda,2.12,0.558862144420131
Bangladesh,2.126,0.556236323851204
Equatorial Guinea,2.132,0.553610503282276
Mauritania,2.136,0.551859956236324
Panama,2.14,0.550109409190372
Dominican Republic,2.157,0.542669584245077
Cuba,2.16,0.541356673960613
Peru,2.179,0.533041575492341
Georgia,2.195,0.526039387308534
Sri Lanka,2.195,0.526039387308534
Saudi Arabia,2.206,0.521225382932166
Eswatini,2.209,0.519912472647702
Philippines,2.21,0.519474835886215
Egypt,2.212,0.518599562363239
Azerbaijan,2.248,0.502844638949672
El Salvador,2.25,0.501969365426696
Mozambique,2.25,0.501969365426696
Ivory Coast,2.255,0.499781181619256
Republic of the Congo,2.261,0.497155361050328
Guyana,2.286,0.486214442013129
Belarus,2.291,0.484026258205689
Nicaragua,2.295,0.482275711159737
Benin,2.306,0.47746170678337
Papua New Guinea,2.315,0.473522975929978
India,2.319,0.471772428884026
Guatemala,2.332,0.466083150984683
Gabon,2.372,0.448577680525164
Djibouti,2.374,0.447702407002188
Togo,2.381,0.444638949671773
Zimbabwe,2.396,0.438074398249453
Kenya,2.409,0.432385120350109
Honduras,2.415,0.429759299781182
Guinea,2.423,0.426258205689278
Lesotho,2.461,0.409628008752735
Uganda,2.477,0.402625820568928
South Africa,2.507,0.389496717724289
Libya,2.528,0.380306345733042
Burundi,2.567,0.363238512035011
Ecuador,2.572,0.361050328227571
Brazil,2.589,0.353610503282276
United States,2.622,0.339168490153173
Iran,2.682,0.312910284463895
Lebanon,2.693,0.308096280087527
Chad,2.704,0.30328227571116
Eritrea,2.748,0.284026258205689
Cameroon,2.773,0.27308533916849
Mexico,2.778,0.27089715536105
Turkey,2.78,0.270021881838074
Pakistan,2.783,0.268708971553611
Niger,2.792,0.264770240700219
Venezuela,2.821,0.252078774617068
Haiti,2.827,0.24945295404814
Ethiopia,2.845,0.241575492341357
Palestine,2.872,0.229759299781182
Colombia,2.887,0.223194748358862
Nigeria,2.907,0.214442013129103
Myanmar,2.943,0.198687089715536
Burkina Faso,2.969,0.187308533916849
Central African Republic,3.009,0.16980306345733
Iraq,3.045,0.154048140043764
North Korea,3.055,0.149671772428884
Somalia,3.091,0.133916849015317
Mali,3.095,0.132166301969365
Israel,3.115,0.123413566739606
Syria,3.173,0.0980306345733041
Russia,3.249,0.0647702407002187
Democratic Republic of the Congo,3.264,0.0582056892778994
Ukraine,3.28,0.0512035010940919
Afghanistan,3.294,0.0450765864332603
South Sudan,3.324,0.0319474835886214
Sudan,3.327,0.0306345733041575
Yemen,3.397,0
