COUNTRY,CRIMINALITY_SCORE,NORMALIZED_CRIMINALITY_SCORE,RESILIENCE_SCORE,NORMALIZED_RESILIENCE_SCORE,SCORE
Liechtenstein,2.27,0.900459418070444,8.46,0.976157082748948,0.938308250409696
Finland,2.98,0.791730474732006,8.63,1,0.895865237366003
Iceland,3.37,0.732006125574273,8.21,0.94109396914446,0.836550047359366
Andorra,3.22,0.754977029096478,7.96,0.906030855539972,0.830503942318225
Luxembourg,2.85,0.811638591117917,7.5,0.841514726507714,0.826576658812816
Tuvalu,1.62,1,6.08,0.642356241234222,0.821178120617111
Singapore,3.47,0.716692189892802,7.83,0.887798036465638,0.80224511317922
Uruguay,3.22,0.754977029096478,7.5,0.841514726507714,0.798245877802096
Norway,3.75,0.673813169984686,7.92,0.900420757363254,0.78711696367397
Denmark,4.02,0.632465543644717,8.13,0.929873772791024,0.78116965821787
New Zealand,4.08,0.623277182235835,7.88,0.894810659186536,0.759043920711185
Latvia,3.9,0.650842266462481,7.58,0.85273492286115,0.751788594661815
"Korea, Rep,",4.43,0.569678407350689,8.08,0.922861150070126,0.746269778710408
Estonia,4.25,0.597243491577335,7.88,0.894810659186536,0.746027075381936
Samoa,2.43,0.875957120980092,5.83,0.607293127629733,0.741625124304913
Sao Tome and Principe,1.7,0.987748851454824,4.92,0.479663394109397,0.73370612278211
Marshall Islands,2.52,0.862174578866769,5.79,0.601683029453015,0.731928804159892
Lithuania,3.9,0.650842266462481,7.29,0.812061711079944,0.731451988771212
Australia,4,0.635528330781011,7.38,0.82468443197756,0.730106381379285
Austria,4.13,0.6156202143951,7.5,0.841514726507714,0.728567470451407
Canada,3.88,0.653905053598775,7.21,0.800841514726508,0.727373284162641
Monaco,2.58,0.852986217457887,5.63,0.579242636746143,0.716114427102015
Barbados,3.07,0.777947932618683,6.13,0.649368863955119,0.713658398286901
Nauru,2.05,0.934150076569678,5,0.490883590462833,0.712516833516256
Japan,4.28,0.592649310872894,7.38,0.82468443197756,0.708666871425227
Armenia,2.82,0.816232771822358,5.71,0.590462833099579,0.703347802460969
Micronesia (Federated States of),3,0.788667687595712,5.88,0.614305750350631,0.701486718973172
Vanuatu,2.43,0.875957120980092,5.13,0.509116409537167,0.692536765258629
Palau,2.7,0.834609494640123,5.33,0.537166900420757,0.68588819753044
Sweden,4.7,0.52833078101072,7.46,0.835904628330996,0.682117704670858
Dominica,2.63,0.845329249617152,5.17,0.514726507713885,0.680027878665518
Belgium,4.43,0.569678407350689,7.04,0.776998597475456,0.673338502413073
Netherlands,4.97,0.486983154670751,7.46,0.835904628330996,0.661443891500873
"St, Vincent and the Grenadines",3.08,0.776416539050536,5.38,0.544179523141655,0.660298031096095
Grenada,2.93,0.799387442572741,5.13,0.509116409537167,0.654251926054954
Cabo Verde,4.28,0.592649310872894,6.58,0.712482468443198,0.652565889658046
Ireland,5.08,0.470137825421133,7.33,0.817671809256662,0.643904817338898
"St, Lucia",3.53,0.707503828483921,5.58,0.572230014025245,0.639866921254583
Switzerland,4.87,0.502297090352221,7.04,0.776998597475456,0.639647843913838
Cuba,3.37,0.732006125574273,5.38,0.544179523141655,0.638092824357964
Germany,5.33,0.431852986217458,7.5,0.841514726507714,0.636683856362586
Kiribati,2.45,0.872894333843798,4.33,0.396914446002805,0.634904389923301
Rwanda,3.6,0.696784073506891,5.54,0.566619915848527,0.631701994677709
Brunei,2.85,0.811638591117917,4.58,0.431977559607293,0.621808075362605
San Marino,3.48,0.715160796324655,5.21,0.520336605890603,0.617748701107629
Bahamas,3.75,0.673813169984686,5.5,0.561009817671809,0.617411493828248
Antigua and Barbuda,2.98,0.791730474732006,4.58,0.431977559607293,0.61185401716965
Georgia,3.6,0.696784073506891,5.25,0.525946704067321,0.611365388787106
Czech Republic,4.68,0.531393568147014,6.42,0.690042075736325,0.61071782194167
Slovenia,4.37,0.578866768759571,6.04,0.636746143057503,0.607806455908537
United Kingdom,5.75,0.367534456355283,7.54,0.847124824684432,0.607329640519858
Tonga,3.7,0.681470137825421,5.29,0.531556802244039,0.60651347003473
Portugal,4.88,0.500765696784074,6.5,0.701262272089761,0.601013984436918
"St, Kitts and Nevis",3.52,0.709035222052068,5,0.490883590462833,0.59995940625745
Romania,4.58,0.546707503828484,6,0.631136044880785,0.588921774354635
Poland,4.48,0.562021439509954,5.88,0.614305750350631,0.588163594930293
Seychelles,3.9,0.650842266462481,5.21,0.520336605890603,0.585589436176542
United States,5.67,0.37978560490046,7.13,0.789621318373072,0.584703461636766
Fiji,4.15,0.612557427258806,5.42,0.549789621318373,0.581173524288589
Israel,4.85,0.505359877488515,6.08,0.642356241234222,0.573858059361368
Mauritius,4.37,0.578866768759571,5.54,0.566619915848527,0.572743342304049
Mongolia,4.12,0.617151607963247,5.21,0.520336605890603,0.568744106926925
Botswana,4.35,0.581929555895865,5.46,0.555399719495091,0.568664637695478
France,5.82,0.356814701378254,6.96,0.76577840112202,0.561296551250137
Chile,5.18,0.454823889739663,6.17,0.654978962131837,0.55490142593575
Argentina,5,0.482388973966309,5.96,0.625525946704067,0.553957460335188
Bhutan,3.9,0.650842266462481,4.71,0.450210378681627,0.550526322572054
Oman,4.4,0.57427258805513,5.21,0.520336605890603,0.547304596972867
Spain,5.9,0.344563552833078,6.75,0.73632538569425,0.540444469263664
Croatia,5.15,0.459418070444104,5.92,0.619915848527349,0.539666959485727
Solomon Islands,4.4,0.57427258805513,5.08,0.502103786816269,0.5381881874357
Gambia,4.53,0.554364471669219,5.17,0.514726507713885,0.534545489691552
Jordan,4.93,0.493108728943339,5.58,0.572230014025245,0.532669371484292
Slovakia,4.72,0.525267993874426,5.29,0.531556802244039,0.528412398059233
Bahrain,4.95,0.490045941807044,5.42,0.549789621318373,0.519917781562709
Kuwait,5.2,0.451761102603369,5.54,0.566619915848527,0.509190509225948
Namibia,4.3,0.5895865237366,4.54,0.426367461430575,0.507976992583588
Hungary,4.62,0.540581929555896,4.88,0.474053295932679,0.507317612744287
North Macedonia,5.03,0.477794793261868,5.29,0.531556802244039,0.504675797752954
Senegal,5.52,0.402756508422665,5.79,0.601683029453015,0.50221976893784
Malawi,4.48,0.562021439509954,4.58,0.431977559607293,0.496999499558624
Malta,5,0.482388973966309,5.13,0.509116409537167,0.495752691751738
Italy,6.22,0.295558958652374,6.46,0.695652173913043,0.495605566282709
Kazakhstan,4.47,0.563552833078101,4.54,0.426367461430575,0.494960147254338
Trinidad and Tobago,5.2,0.451761102603369,5.33,0.537166900420757,0.494464001512063
Tunisia,4.45,0.566615620214395,4.5,0.420757363253857,0.493686491734126
Lesotho,3.92,0.647779479326187,3.92,0.339410939691445,0.493595209508816
Cyprus,4.43,0.569678407350689,4.46,0.415147265077139,0.492412836213914
Costa Rica,5.53,0.401225114854518,5.63,0.579242636746143,0.49023387580033
Albania,5.17,0.45635528330781,5.13,0.509116409537167,0.482735846422489
Qatar,5.45,0.413476263399694,5.42,0.549789621318373,0.481632942359033
Bolivia,4.95,0.490045941807044,4.83,0.467040673211781,0.478543307509413
Maldives,4.27,0.594180704441041,4.08,0.361851332398317,0.478016018419679
Morocco,4.8,0.51301684532925,4.63,0.438990182328191,0.47600351382872
Zambia,4.73,0.523736600306279,4.54,0.426367461430575,0.475052030868427
Timor-Leste,4.08,0.623277182235835,3.83,0.326788218793829,0.475032700514832
Greece,5.35,0.428790199081164,5.17,0.514726507713885,0.471758353397525
Dominican Republic,5.02,0.479326186830015,4.79,0.461430575035063,0.470378380932539
Djibouti,4.65,0.535987748851455,4.38,0.403927068723703,0.469957408787579
Bulgaria,5.65,0.382848392036753,5.33,0.537166900420757,0.460007646228755
India,5.75,0.367534456355283,5.42,0.549789621318373,0.458662038836828
Ghana,5.8,0.359877488514548,5.46,0.555399719495091,0.45763860400482
Malaysia,6.23,0.294027565084227,5.92,0.619915848527349,0.456971706805788
Jamaica,5.8,0.359877488514548,5.42,0.549789621318373,0.454833554916461
Algeria,4.88,0.500765696784074,4.38,0.403927068723703,0.452346382753888
Bangladesh,5.12,0.464012251148545,4.42,0.409537166900421,0.436774709024483
Togo,5.23,0.447166921898928,4.5,0.420757363253857,0.433962142576392
Azerbaijan,4.8,0.51301684532925,3.96,0.345021037868163,0.429018941598706
China,6.37,0.272588055130169,5.67,0.584852734922861,0.428720395026515
Sierra Leone,4.95,0.490045941807044,4.04,0.356241234221599,0.423143588014322
C̫te d'Ivoire,6.02,0.326186830015314,5.13,0.509116409537167,0.41765161977624
Ethiopia,5.68,0.378254211332312,4.75,0.455820476858345,0.417037344095329
eSwatini,4.38,0.577335375191424,3.29,0.251051893408135,0.414193634299779
Uzbekistan,4.95,0.490045941807044,3.88,0.333800841514726,0.411923391660885
Angola,5.58,0.393568147013783,4.5,0.420757363253857,0.40716275513382
Mauritania,4.38,0.577335375191424,3.13,0.228611500701262,0.402973437946343
Egypt,5.05,0.474732006125574,3.83,0.326788218793829,0.400760112459702
Montenegro,5.9,0.344563552833078,4.75,0.455820476858345,0.400192014845712
United Arab Emirates,6.37,0.272588055130169,5.13,0.509116409537167,0.390852232333668
Serbia,6.22,0.295558958652374,4.96,0.485273492286115,0.390416225469244
Guinea,4.58,0.546707503828484,3.13,0.228611500701262,0.387659502264873
Comoros,3.92,0.647779479326187,2.38,0.123422159887798,0.385600819606992
Sri Lanka,4.92,0.494640122511486,3.42,0.269284712482468,0.381962417496977
Thailand,6.18,0.301684532924962,4.79,0.461430575035063,0.381557553980012
"Congo, Rep,",4.78,0.516079632465544,3.25,0.245441795231417,0.38076071384848
Kyrgyzstan,5.32,0.433384379785605,3.83,0.326788218793829,0.380086299289717
Eritrea,3.97,0.640122511485452,2.33,0.1164095371669,0.378266024326176
Belize,4.87,0.502297090352221,3.29,0.251051893408135,0.376674491880178
Gabon,4.85,0.505359877488515,3.25,0.245441795231417,0.375400836359966
Nigeria,7.28,0.13323124042879,5.79,0.601683029453015,0.367457134940903
Suriname,4.77,0.517611026033691,3.04,0.215988779803647,0.366799902918669
Moldova,5.6,0.390505359877489,3.92,0.339410939691445,0.364958149784467
South Africa,7.18,0.14854517611026,5.63,0.579242636746143,0.363893906428202
Benin,5.32,0.433384379785605,3.5,0.280504908835905,0.356944644310755
Kenya,7.02,0.173047473200613,5.33,0.537166900420757,0.355107186810685
Vietnam,6.55,0.245022970903522,4.79,0.461430575035063,0.353226772969293
Brazil,6.77,0.211332312404288,4.92,0.479663394109397,0.345497853256842
Guyana,5.97,0.333843797856049,4.04,0.356241234221599,0.345042516038824
Bosnia and Herzegovina,5.85,0.352220520673813,3.88,0.333800841514726,0.34301068109427
Ukraine,6.48,0.255742725880551,4.54,0.426367461430575,0.341055093655563
Equatorial Guinea,4.38,0.577335375191424,2.21,0.0995792426367461,0.338457308914085
Turkmenistan,4.4,0.57427258805513,2.21,0.0995792426367461,0.336925915345938
Peru,6.4,0.267993874425727,4.38,0.403927068723703,0.335960471574715
Pakistan,6.03,0.324655436447167,3.96,0.345021037868163,0.334838237157665
Tanzania,6.2,0.298621745788668,4.13,0.368863955119215,0.333742850453941
Liberia,5.5,0.405819295558959,3.25,0.245441795231417,0.325630545395188
Madagascar,5.58,0.393568147013783,3.33,0.256661991584853,0.325115069299318
Niger,5.7,0.375191424196018,3.46,0.274894810659187,0.325043117427602
Saudi Arabia,6.23,0.294027565084227,4,0.350631136044881,0.322329350564554
Colombia,7.75,0.0612557427258806,5.63,0.579242636746143,0.320249189736012
Ecuador,7.07,0.165390505359877,4.88,0.474053295932679,0.319721900646278
Zimbabwe,5.47,0.4104134762634,3.13,0.228611500701262,0.319512488482331
Panama,6.98,0.179173047473201,4.67,0.444600280504909,0.311886663989055
Papua New Guinea,5.72,0.372128637059724,3.29,0.251051893408135,0.31159026523393
Guinea-Bissau,5.1,0.467075038284839,2.58,0.151472650771389,0.309273844528114
Burkina Faso,5.92,0.341500765696784,3.46,0.274894810659187,0.308197788177985
Philippines,6.63,0.232771822358346,4.21,0.380084151472651,0.306427986915498
Guatemala,6.6,0.237366003062787,4.08,0.361851332398317,0.299608667730552
Burundi,4.87,0.502297090352221,2.17,0.093969144460028,0.298133117406124
Belarus,5.87,0.349157733537519,3.25,0.245441795231417,0.297299764384468
Nepal,6.57,0.241960183767228,4,0.350631136044881,0.296295659906054
Laos,6.12,0.310872894333844,3.46,0.274894810659187,0.292883852496515
Indonesia,6.85,0.199081163859112,4.25,0.385694249649369,0.29238770675424
El Salvador,5.92,0.341500765696784,3.21,0.239831697054698,0.290666231375741
Uganda,6.55,0.245022970903522,3.88,0.333800841514726,0.289411906209124
Tajikistan,5.45,0.413476263399694,2.58,0.151472650771389,0.282474457085541
"Korea, DPR",4.82,0.509954058192956,1.79,0.0406732117812062,0.275313634987081
Mozambique,6.2,0.298621745788668,3.29,0.251051893408135,0.274836819598401
Chad,5.5,0.405819295558959,2.42,0.129032258064516,0.267425776811737
Honduras,7.05,0.168453292496172,4.08,0.361851332398317,0.265152312447244
Cameroon,6.27,0.287901990811639,3.17,0.23422159887798,0.26106179484481
Russia,6.87,0.196018376722818,3.79,0.321178120617111,0.258598248669964
Cambodia,6.85,0.199081163859112,3.63,0.298737727910238,0.248909445884675
Haiti,5.93,0.339969372128637,2.46,0.134642356241234,0.237305864184936
Mexico,7.57,0.0888208269525268,4.21,0.380084151472651,0.234452489212589
Mali,5.93,0.339969372128637,2.38,0.123422159887798,0.231695766008218
Nicaragua,5.72,0.372128637059724,2.08,0.0813464235624123,0.226737530311068
Sudan,6.37,0.272588055130169,2.71,0.169705469845722,0.221146762487945
Lebanon,7.1,0.160796324655437,3.46,0.274894810659187,0.217845567657312
Turkey,7.03,0.171516079632466,3.38,0.26367461430575,0.217595346969108
Iran,7.03,0.171516079632466,3.13,0.228611500701262,0.200063790166864
Iraq,7.13,0.156202143950995,3.21,0.239831697054698,0.198016920502847
Paraguay,7.52,0.096477794793262,3.42,0.269284712482468,0.182881253637865
Somalia,6.13,0.309341500765697,1.79,0.0406732117812062,0.175007356273452
South Sudan,6.32,0.280245022970904,1.88,0.0532959326788219,0.166770477824863
Yemen,6.57,0.241960183767228,1.75,0.0350631136044881,0.138511648685858
Venezuela,6.72,0.218989280245023,1.88,0.0532959326788219,0.136142606461922
Central African Republic,6.75,0.214395099540582,1.79,0.0406732117812062,0.127534155660894
"Congo, Dem, Rep,",7.35,0.122511485451761,2.38,0.123422159887798,0.12296682266978
Syria,7.07,0.165390505359877,1.92,0.05890603085554,0.112148268107709
Libya,6.93,0.186830015313936,1.54,0.0056100981767181,0.0962200567453269
Afghanistan,7.1,0.160796324655437,1.5,0,0.0803981623277183
Myanmar,8.15,0,1.63,0.0182328190743338,0.00911640953716689
